Categoria;Item;Referencia;Cantidad;Estado;Costo promedio;Total
Snacks;Super Rica Papas Costillas BBQ 115gr;;0;Activo;$3.918;$0
Snacks;Super Rica Nachos 170gr;;0;Activo;$2.827;$0
Snacks;Super Rica Papas De Tomate 105gr;;0;Activo;$2.001;$0
Snacks;Gatorade 500ml;;3;Activo;$9.772;$29.317
Licores;Ron de Caldas Tradicional 750ml;;2;Activo;$28.072;$56.144
Licores;Ron Medellin 750ml;;1;Activo;$26.980;$26.980
Licores;Whisky Buchanas 18 Años 750ml;;1;Activo;$183.930;$183.930
Licores;Whisky Chivas 12 Años 375ml;;1;Activo;$47.410;$47.410
Licores;Whisky Old Park 750ml;;2;Activo;$78.628;$157.255
Licores;Whisky Jack Daniel's Honey 750ml;;2;Activo;$66.766;$133.532
Licores;Whisky Buchanan's Master 15 Años 750ml;;1;Activo;$106.824;$106.824
Snacks;Super Rica Papas De Limòn 105gr;;0;Activo;$2.101;$0
Licores;Coctel mojito jagermeister;;-77;Activo;$0;$0
Licores;shot Buchanas;;-40;Activo;$0;$0
Licores;Vaso De Cerveza Dorada 330ml;;71;Activo;$2.840;$201.625
Snacks;Super Rica Chicharrón Natural50gr;;0;Activo;$1.584;$0
Snacks;Super Rica Chicharrón BBQ 50gr;;4;Activo;$5.991;$23.962
Licores;Tequila Jimador Reposado 750ml;;2;Activo;$57.930;$115.860
Snacks;Empanada pequeña de carne;;-133;Activo;$1.101;-$146.455
Snacks;Empanadas Pequeña De Pollo;;-134;Activo;$1.100;-$147.400
Licores;Coctel Mojito Frutos Rojos y Maracuya;;-351;Activo;$0;$0
Licores;Ron Bacardi Limon 750ml;7501008616130;1;Activo;$35.780;$35.780
Licores;Ron Caldas 8 Años 750ml;;0;Activo;$54.729;$0
Licores;Whisky  Jager Meister  700ml;;0;Activo;$68.164;$0
Licores;Convier Triple Sec Menta;;1;Activo;$30.509;$30.509
Snacks;Bonfiest;;-10;Activo;$2.923;-$29.233
Bebidas no alcoholicas;Convier de cacao;;1;Activo;$156.765;$156.765
Bebidas no alcoholicas;Convier piña colada;;2;Activo;$35.887;$71.774
Licores;Aguardiente Amarillo 375ml;;0;Activo;$21.341;$0
Licores;Coctel Vodka pink;;-48;Activo;$0;$0
Cerveza;Ac/Dc;;1;Activo;$8.683;$8.683
Cerveza;Trooper Lata 500ml;;2;Activo;$10.996;$21.991
Cerveza;Barril Ac/dc 5lts;;0;Activo;$99.895;$0
Licores;Vino tinto;;2;Activo;$91.815;$183.630
Cerveza;Brewdog Elvis Juice 330ml;;0;Activo;$14.865;$0
Cerveza;Abbaye Cuve Royal 750ml;;0;Activo;$37.334;$0
Cerveza;Delirium Tremens 750ml;;0;Activo;$33.324;$0
Cerveza;Cachaza 500Ml;;0;Activo;$5.000;$0
Cerveza;Pisco Demonio 700 Ml;;1;Activo;$66.428;$66.428
Licores;Michelada Maracumango;;-63;Activo;$0;$0
Licores;Brandy  Domec;;1;Activo;$90.819;$90.819
Licores;Crema De Coco  17onz;;3;Activo;$34.757;$104.270
Bebidas no alcoholicas;Base De Maracuya;;1;Activo;$80.336;$80.336
Bebidas no alcoholicas;Base de Mango;;3;Activo;$46.302;$138.907
Bebidas no alcoholicas;Base de durazno;;2;Activo;$41.849;$83.698
Bebidas no alcoholicas;Tajìne;;3;Activo;$15.098;$45.294
Bebidas no alcoholicas;Cinzano Dri Martiny 750ml;;2;Activo;$39.093;$78.185
Licores;Base Margarita;;2;Activo;$36.897;$73.793
Licores;Vino Caliente;;-70;Activo;$0;$0
Licores;Coctel Tacama;;-18;Activo;$0;$0
Licores;Coctel Doraemon;;-8;Activo;$0;$0
Licores;Coctel Padrino;;-33;Activo;$0;$0
Licores;Coctel Orgasmo;;-68;Activo;$0;$0
Licores;Crema Baileys 700Ml;;0;Activo;$67.289;$0
Licores;Convier Amaretto;;1;Activo;$137.652;$137.652
Licores;Coctel Piña colada;;-49;Activo;$0;$0
Licores;Coctel Cabeza De Jabalí;;-24;Activo;$0;$0
Licores;Coctel Jungla;;-8;Activo;$0;$0
Cerveza;Erdinger Alkohol free 500ml;;0;Activo;$8.655;$0
Licores;Coctel Martiny  peach;;-6;Activo;$0;$0
Licores;Coctel Alquimia;;-7;Activo;$0;$0
Licores;Coctel Caipiriña;;-43;Activo;$0;$0
Snacks;Pastel De pollo;;0;Activo;$0;$0
Snacks;Chorizo Santarosano;;-12;Activo;$1.766;-$21.192
Cerveza;Barril benediktiner;;0;Activo;$134.490;$0
Licores;Whisky Jack Daniel's 375ml;;0;Activo;$36.415;$0
Snacks;Halls Unidad;;73;Activo;$157;$11.434
Snacks;Trident Paquete;;22;Activo;$2.379;$52.328
Licores;Jack Daniels Honey 375ml;;0;Activo;$23.145;$0
Licores;Four loko;;2;Activo;$19.120;$38.241
Snacks;Picada;;-33;Activo;$8.008;-$264.275
Licores;Tequila Gran Familia;;0;Activo;$70.189;$0
Cerveza;Moritz Red Ipa 330ml;;0;Activo;$7.178;$0
Cerveza;Moritz 7 330ml;;0;Activo;$6.337;$0
Cerveza;Moritz  barcelona;;0;Activo;$6.337;$0
Snacks;Trident Unidad;;-1;Activo;$192;-$192
Cerveza;Delirium Red 330ML;;8;Activo;$25.006;$200.045
Snacks;Sandwich;;-1;Activo;$0;$0
Snacks;Salchipapa;;-7;Activo;$0;$0
Snacks;alitas bbq;;0;Activo;$9.244;$0
Snacks;Mani Individual;;17;Activo;$1.764;$29.996
Licores;Vodka Bartender;;2;Activo;$86.516;$173.031
Licores;Monster Energizante  437ml;;1;Activo;$16.366;$16.366
Licores;Crema de Whisky Bartender 750ml;;1;Activo;$21.669;$21.669
Licores;Whisky coctelería;;0;Activo;$10.434;$0
Licores;Ron Añejo Cocteleria;;1;Activo;$16.981;$16.981
Cerveza;Delirium Red 750ml;;1;Activo;$35.792;$35.792
Licores;Ron Medellín Dorado 375ml;;2;Activo;$13.409;$26.818
Licores;Ron Medellín Dorado 750ml;;1;Activo;$23.399;$23.399
Cerveza;Cerveza Reds 250ml;;26;Activo;$2.460;$63.972
Cerveza;Vaso Cerveza Dala;;13;Activo;$13.538;$176.000
Licores;St. Idesbals Blond 330ml;;2;Activo;$16.556;$33.111
Licores;Nectar Dorado 750ml;;1;Activo;$22.779;$22.779
